img_id,dataset,route,level,score,reason,parse_tier
10001.jpg,spaq,r5,,5.6117,R5=软门控+patch+para3 | bare 0.36/rich 0.29/multi 0.34,1
10024.jpg,spaq,r5,,1.7211,R5=软门控+patch+para3 | bare 0.33/rich 0.32/multi 0.35,1
10025.jpg,spaq,r5,,2.1448,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10026.jpg,spaq,r5,,1.7297,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10027.jpg,spaq,r5,,2.693,R5=软门控+patch+para3 | bare 0.32/rich 0.35/multi 0.33,1
10028.jpg,spaq,r5,,6.2735,R5=软门控+patch+para3 | bare 0.32/rich 0.33/multi 0.35,1
10029.jpg,spaq,r5,,6.0491,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10030.jpg,spaq,r5,,1.7383,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.33,1
10031.jpg,spaq,r5,,4.9088,R5=软门控+patch+para3 | bare 0.33/rich 0.32/multi 0.35,1
10032.jpg,spaq,r5,,1.7349,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10033.jpg,spaq,r5,,1.73,R5=软门控+patch+para3 | bare 0.37/rich 0.29/multi 0.34,1
10034.jpg,spaq,r5,,8.8912,R5=软门控+patch+para3 | bare 0.37/rich 0.29/multi 0.35,1
10035.jpg,spaq,r5,,7.4636,R5=软门控+patch+para3 | bare 0.35/rich 0.30/multi 0.34,1
10036.jpg,spaq,r5,,6.9164,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10037.jpg,spaq,r5,,2.6761,R5=软门控+patch+para3 | bare 0.31/rich 0.36/multi 0.33,1
10038.jpg,spaq,r5,,2.1301,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10039.jpg,spaq,r5,,2.287,R5=软门控+patch+para3 | bare 0.33/rich 0.35/multi 0.33,1
10040.jpg,spaq,r5,,2.1044,R5=软门控+patch+para3 | bare 0.31/rich 0.35/multi 0.34,1
10041.jpg,spaq,r5,,5.0558,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10042.jpg,spaq,r5,,6.7367,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.34,1
10043.jpg,spaq,r5,,1.7355,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10044.jpg,spaq,r5,,2.75,R5=软门控+patch+para3 | bare 0.37/rich 0.30/multi 0.33,1
10045.jpg,spaq,r5,,4.0914,R5=软门控+patch+para3 | bare 0.37/rich 0.28/multi 0.34,1
10046.jpg,spaq,r5,,2.1342,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10047.jpg,spaq,r5,,4.536,R5=软门控+patch+para3 | bare 0.32/rich 0.32/multi 0.36,1
10048.jpg,spaq,r5,,2.7483,R5=软门控+patch+para3 | bare 0.37/rich 0.31/multi 0.33,1
10049.jpg,spaq,r5,,2.5502,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10050.jpg,spaq,r5,,1.7859,R5=软门控+patch+para3 | bare 0.31/rich 0.35/multi 0.34,1
10051.jpg,spaq,r5,,7.2199,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10052.jpg,spaq,r5,,7.6495,R5=软门控+patch+para3 | bare 0.31/rich 0.33/multi 0.36,1
10053.jpg,spaq,r5,,6.5834,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10054.jpg,spaq,r5,,4.4622,R5=软门控+patch+para3 | bare 0.34/rich 0.34/multi 0.32,1
10055.jpg,spaq,r5,,2.6114,R5=软门控+patch+para3 | bare 0.33/rich 0.35/multi 0.32,1
10056.jpg,spaq,r5,,4.7365,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10057.jpg,spaq,r5,,4.7432,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10058.jpg,spaq,r5,,1.7376,R5=软门控+patch+para3 | bare 0.32/rich 0.35/multi 0.33,1
10059.jpg,spaq,r5,,1.7988,R5=软门控+patch+para3 | bare 0.32/rich 0.36/multi 0.33,1
10060.jpg,spaq,r5,,2.6339,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10061.jpg,spaq,r5,,2.1224,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.33,1
10062.jpg,spaq,r5,,2.1043,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10063.jpg,spaq,r5,,2.144,R5=软门控+patch+para3 | bare 0.35/rich 0.33/multi 0.32,1
10064.jpg,spaq,r5,,7.1235,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10065.jpg,spaq,r5,,6.8135,R5=软门控+patch+para3 | bare 0.31/rich 0.34/multi 0.35,1
10066.jpg,spaq,r5,,4.8965,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10067.jpg,spaq,r5,,6.2902,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10068.jpg,spaq,r5,,4.9773,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.34,1
10069.jpg,spaq,r5,,1.7407,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.32,1
10070.jpg,spaq,r5,,7.7763,R5=软门控+patch+para3 | bare 0.34/rich 0.31/multi 0.35,1
10071.jpg,spaq,r5,,1.7354,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10072.jpg,spaq,r5,,4.7639,R5=软门控+patch+para3 | bare 0.28/rich 0.37/multi 0.35,1
10073.jpg,spaq,r5,,2.1565,R5=软门控+patch+para3 | bare 0.37/rich 0.31/multi 0.33,1
10074.jpg,spaq,r5,,1.7358,R5=软门控+patch+para3 | bare 0.37/rich 0.30/multi 0.33,1
10075.jpg,spaq,r5,,1.7457,R5=软门控+patch+para3 | bare 0.32/rich 0.36/multi 0.32,1
10076.jpg,spaq,r5,,4.2715,R5=软门控+patch+para3 | bare 0.38/rich 0.30/multi 0.32,1
10077.jpg,spaq,r5,,3.9558,R5=软门控+patch+para3 | bare 0.29/rich 0.39/multi 0.31,1
10078.jpg,spaq,r5,,2.1701,R5=软门控+patch+para3 | bare 0.39/rich 0.28/multi 0.33,1
10079.jpg,spaq,r5,,5.5527,R5=软门控+patch+para3 | bare 0.32/rich 0.33/multi 0.34,1
10080.jpg,spaq,r5,,7.0174,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10081.jpg,spaq,r5,,6.5761,R5=软门控+patch+para3 | bare 0.33/rich 0.32/multi 0.35,1
10082.jpg,spaq,r5,,3.1243,R5=软门控+patch+para3 | bare 0.30/rich 0.35/multi 0.35,1
10083.jpg,spaq,r5,,1.7206,R5=软门控+patch+para3 | bare 0.35/rich 0.30/multi 0.35,1
10084.jpg,spaq,r5,,2.1406,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10085.jpg,spaq,r5,,5.5484,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10086.jpg,spaq,r5,,2.1151,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10087.jpg,spaq,r5,,2.6934,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.32,1
10088.jpg,spaq,r5,,1.7908,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10089.jpg,spaq,r5,,4.2255,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10090.jpg,spaq,r5,,6.9708,R5=软门控+patch+para3 | bare 0.37/rich 0.29/multi 0.34,1
10091.jpg,spaq,r5,,5.8638,R5=软门控+patch+para3 | bare 0.32/rich 0.35/multi 0.33,1
10092.jpg,spaq,r5,,7.0138,R5=软门控+patch+para3 | bare 0.31/rich 0.34/multi 0.35,1
10093.jpg,spaq,r5,,1.7348,R5=软门控+patch+para3 | bare 0.38/rich 0.29/multi 0.33,1
10094.jpg,spaq,r5,,4.1718,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.32,1
10095.jpg,spaq,r5,,2.5473,R5=软门控+patch+para3 | bare 0.26/rich 0.43/multi 0.31,1
10096.jpg,spaq,r5,,6.4917,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10097.jpg,spaq,r5,,2.7378,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.34,1
10098.jpg,spaq,r5,,2.4547,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.33,1
10099.jpg,spaq,r5,,4.5693,R5=软门控+patch+para3 | bare 0.36/rich 0.29/multi 0.35,1
10100.jpg,spaq,r5,,5.4582,R5=软门控+patch+para3 | bare 0.31/rich 0.37/multi 0.33,1
10101.jpg,spaq,r5,,6.8148,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.35,1
10102.jpg,spaq,r5,,5.1655,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.34,1
10103.jpg,spaq,r5,,3.1121,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.33,1
10104.jpg,spaq,r5,,1.7374,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10105.jpg,spaq,r5,,1.7397,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10106.jpg,spaq,r5,,5.6758,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10107.jpg,spaq,r5,,2.7122,R5=软门控+patch+para3 | bare 0.30/rich 0.39/multi 0.32,1
10108.jpg,spaq,r5,,3.5785,R5=软门控+patch+para3 | bare 0.36/rich 0.29/multi 0.34,1
10109.jpg,spaq,r5,,1.7865,R5=软门控+patch+para3 | bare 0.30/rich 0.36/multi 0.34,1
10110.jpg,spaq,r5,,3.8925,R5=软门控+patch+para3 | bare 0.35/rich 0.33/multi 0.32,1
10111.jpg,spaq,r5,,1.7776,R5=软门控+patch+para3 | bare 0.37/rich 0.29/multi 0.34,1
10112.jpg,spaq,r5,,2.4554,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10113.jpg,spaq,r5,,7.3702,R5=软门控+patch+para3 | bare 0.35/rich 0.30/multi 0.35,1
10114.jpg,spaq,r5,,4.0095,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.33,1
10115.jpg,spaq,r5,,3.529,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.33,1
10116.jpg,spaq,r5,,4.221,R5=软门控+patch+para3 | bare 0.33/rich 0.35/multi 0.32,1
10117.jpg,spaq,r5,,7.0932,R5=软门控+patch+para3 | bare 0.35/rich 0.30/multi 0.35,1
10118.jpg,spaq,r5,,7.1697,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10119.jpg,spaq,r5,,4.7989,R5=软门控+patch+para3 | bare 0.30/rich 0.37/multi 0.34,1
10120.jpg,spaq,r5,,2.6226,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10121.jpg,spaq,r5,,4.9014,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10122.jpg,spaq,r5,,3.967,R5=软门控+patch+para3 | bare 0.31/rich 0.38/multi 0.31,1
10123.jpg,spaq,r5,,6.7967,R5=软门控+patch+para3 | bare 0.35/rich 0.30/multi 0.34,1
10124.jpg,spaq,r5,,6.4642,R5=软门控+patch+para3 | bare 0.31/rich 0.35/multi 0.34,1
10125.jpg,spaq,r5,,5.8245,R5=软门控+patch+para3 | bare 0.33/rich 0.32/multi 0.35,1
10126.jpg,spaq,r5,,3.4839,R5=软门控+patch+para3 | bare 0.30/rich 0.35/multi 0.35,1
10127.jpg,spaq,r5,,2.6301,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10128.jpg,spaq,r5,,6.9632,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.35,1
10129.jpg,spaq,r5,,2.6258,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10130.jpg,spaq,r5,,3.9026,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10131.jpg,spaq,r5,,2.1252,R5=软门控+patch+para3 | bare 0.32/rich 0.36/multi 0.32,1
10132.jpg,spaq,r5,,1.7826,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10133.jpg,spaq,r5,,1.7998,R5=软门控+patch+para3 | bare 0.34/rich 0.34/multi 0.32,1
10134.jpg,spaq,r5,,1.7416,R5=软门控+patch+para3 | bare 0.32/rich 0.36/multi 0.32,1
10135.jpg,spaq,r5,,5.149,R5=软门控+patch+para3 | bare 0.27/rich 0.41/multi 0.31,1
10136.jpg,spaq,r5,,3.9285,R5=软门控+patch+para3 | bare 0.25/rich 0.44/multi 0.31,1
10137.jpg,spaq,r5,,3.3806,R5=软门控+patch+para3 | bare 0.31/rich 0.36/multi 0.33,1
10138.jpg,spaq,r5,,2.7071,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10139.jpg,spaq,r5,,1.7871,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.34,1
10140.jpg,spaq,r5,,7.018,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10141.jpg,spaq,r5,,6.4862,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.33,1
10142.jpg,spaq,r5,,2.4576,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10143.jpg,spaq,r5,,5.0565,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.34,1
10144.jpg,spaq,r5,,2.7786,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.34,1
10145.jpg,spaq,r5,,6.7704,R5=软门控+patch+para3 | bare 0.31/rich 0.36/multi 0.34,1
10146.jpg,spaq,r5,,7.1922,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10147.jpg,spaq,r5,,3.0054,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.32,1
10148.jpg,spaq,r5,,5.2433,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10149.jpg,spaq,r5,,2.7379,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10150.jpg,spaq,r5,,6.9011,R5=软门控+patch+para3 | bare 0.32/rich 0.33/multi 0.34,1
10151.jpg,spaq,r5,,3.5076,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.33,1
10152.jpg,spaq,r5,,2.6246,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10153.jpg,spaq,r5,,4.7989,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10154.jpg,spaq,r5,,2.1403,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.33,1
10155.jpg,spaq,r5,,6.2582,R5=软门控+patch+para3 | bare 0.32/rich 0.33/multi 0.35,1
10156.jpg,spaq,r5,,4.7506,R5=软门控+patch+para3 | bare 0.37/rich 0.30/multi 0.34,1
10157.jpg,spaq,r5,,5.7679,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10158.jpg,spaq,r5,,2.776,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10159.jpg,spaq,r5,,3.2096,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10160.jpg,spaq,r5,,5.2526,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10161.jpg,spaq,r5,,2.7908,R5=软门控+patch+para3 | bare 0.32/rich 0.33/multi 0.34,1
10162.jpg,spaq,r5,,1.7337,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.33,1
10163.jpg,spaq,r5,,6.5785,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10164.jpg,spaq,r5,,4.8082,R5=软门控+patch+para3 | bare 0.32/rich 0.35/multi 0.33,1
10165.jpg,spaq,r5,,7.8097,R5=软门控+patch+para3 | bare 0.34/rich 0.31/multi 0.34,1
10166.jpg,spaq,r5,,1.7524,R5=软门控+patch+para3 | bare 0.30/rich 0.39/multi 0.31,1
10167.jpg,spaq,r5,,1.7395,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10168.jpg,spaq,r5,,4.8452,R5=软门控+patch+para3 | bare 0.26/rich 0.43/multi 0.31,1
10169.jpg,spaq,r5,,3.6285,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10170.jpg,spaq,r5,,4.9023,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10171.jpg,spaq,r5,,6.3096,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10172.jpg,spaq,r5,,2.1123,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10173.jpg,spaq,r5,,2.1388,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10174.jpg,spaq,r5,,2.7674,R5=软门控+patch+para3 | bare 0.31/rich 0.35/multi 0.34,1
10175.jpg,spaq,r5,,6.6771,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10176.jpg,spaq,r5,,6.0702,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10177.jpg,spaq,r5,,6.9319,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.33,1
10178.jpg,spaq,r5,,3.3082,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10179.jpg,spaq,r5,,2.5927,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10180.jpg,spaq,r5,,6.1703,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10181.jpg,spaq,r5,,3.5122,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10182.jpg,spaq,r5,,1.7316,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10183.jpg,spaq,r5,,4.8892,R5=软门控+patch+para3 | bare 0.31/rich 0.36/multi 0.34,1
10184.jpg,spaq,r5,,4.1699,R5=软门控+patch+para3 | bare 0.31/rich 0.36/multi 0.33,1
10185.jpg,spaq,r5,,1.7326,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10186.jpg,spaq,r5,,6.475,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10187.jpg,spaq,r5,,7.2613,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.35,1
10188.jpg,spaq,r5,,7.8692,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.35,1
10189.jpg,spaq,r5,,4.8861,R5=软门控+patch+para3 | bare 0.31/rich 0.36/multi 0.33,1
10190.jpg,spaq,r5,,6.976,R5=软门控+patch+para3 | bare 0.38/rich 0.28/multi 0.34,1
10191.jpg,spaq,r5,,3.6304,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10192.jpg,spaq,r5,,6.5147,R5=软门控+patch+para3 | bare 0.29/rich 0.35/multi 0.36,1
10193.jpg,spaq,r5,,5.759,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10194.jpg,spaq,r5,,1.7226,R5=软门控+patch+para3 | bare 0.31/rich 0.35/multi 0.35,1
10195.jpg,spaq,r5,,1.7389,R5=软门控+patch+para3 | bare 0.30/rich 0.37/multi 0.33,1
10196.jpg,spaq,r5,,1.7422,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.32,1
10197.jpg,spaq,r5,,6.7454,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10198.jpg,spaq,r5,,3.9451,R5=软门控+patch+para3 | bare 0.38/rich 0.28/multi 0.34,1
10199.jpg,spaq,r5,,7.2529,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.34,1
10200.jpg,spaq,r5,,2.8114,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.33,1
10201.jpg,spaq,r5,,1.7241,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10202.jpg,spaq,r5,,6.5055,R5=软门控+patch+para3 | bare 0.31/rich 0.34/multi 0.36,1
10203.jpg,spaq,r5,,6.3439,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10204.jpg,spaq,r5,,2.9901,R5=软门控+patch+para3 | bare 0.24/rich 0.47/multi 0.29,1
10205.jpg,spaq,r5,,1.7399,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.33,1
10206.jpg,spaq,r5,,1.742,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.32,1
10207.jpg,spaq,r5,,5.6902,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10208.jpg,spaq,r5,,1.7354,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10209.jpg,spaq,r5,,5.769,R5=软门控+patch+para3 | bare 0.30/rich 0.37/multi 0.33,1
10210.jpg,spaq,r5,,7.1244,R5=软门控+patch+para3 | bare 0.32/rich 0.33/multi 0.34,1
10211.jpg,spaq,r5,,5.8825,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.33,1
10212.jpg,spaq,r5,,4.8451,R5=软门控+patch+para3 | bare 0.26/rich 0.43/multi 0.31,1
10213.jpg,spaq,r5,,2.6165,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10214.jpg,spaq,r5,,2.6184,R5=软门控+patch+para3 | bare 0.33/rich 0.34/multi 0.33,1
10215.jpg,spaq,r5,,1.7345,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.33,1
10216.jpg,spaq,r5,,6.3053,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.34,1
10217.jpg,spaq,r5,,5.2171,R5=软门控+patch+para3 | bare 0.32/rich 0.35/multi 0.33,1
10218.jpg,spaq,r5,,5.619,R5=软门控+patch+para3 | bare 0.32/rich 0.35/multi 0.33,1
10219.jpg,spaq,r5,,1.753,R5=软门控+patch+para3 | bare 0.28/rich 0.41/multi 0.31,1
10220.jpg,spaq,r5,,2.3061,R5=软门控+patch+para3 | bare 0.35/rich 0.33/multi 0.32,1
10221.jpg,spaq,r5,,4.9012,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10222.jpg,spaq,r5,,2.6274,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.34,1
10223.jpg,spaq,r5,,2.1411,R5=软门控+patch+para3 | bare 0.34/rich 0.34/multi 0.32,1
10224.jpg,spaq,r5,,2.6223,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.33,1
10225.jpg,spaq,r5,,7.4449,R5=软门控+patch+para3 | bare 0.32/rich 0.32/multi 0.35,1
10226.jpg,spaq,r5,,6.8287,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10227.jpg,spaq,r5,,6.5854,R5=软门控+patch+para3 | bare 0.29/rich 0.39/multi 0.33,1
10228.jpg,spaq,r5,,6.4869,R5=软门控+patch+para3 | bare 0.37/rich 0.31/multi 0.32,1
10229.jpg,spaq,r5,,6.9096,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10230.jpg,spaq,r5,,4.6655,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10231.jpg,spaq,r5,,2.824,R5=软门控+patch+para3 | bare 0.35/rich 0.32/multi 0.33,1
10232.jpg,spaq,r5,,5.2371,R5=软门控+patch+para3 | bare 0.32/rich 0.34/multi 0.34,1
10233.jpg,spaq,r5,,2.6329,R5=软门控+patch+para3 | bare 0.36/rich 0.31/multi 0.33,1
10234.jpg,spaq,r5,,8.1016,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.35,1
10235.jpg,spaq,r5,,5.9361,R5=软门控+patch+para3 | bare 0.29/rich 0.37/multi 0.34,1
10236.jpg,spaq,r5,,1.9472,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10237.jpg,spaq,r5,,2.6488,R5=软门控+patch+para3 | bare 0.33/rich 0.33/multi 0.34,1
10238.jpg,spaq,r5,,3.7842,R5=软门控+patch+para3 | bare 0.34/rich 0.33/multi 0.33,1
10239.jpg,spaq,r5,,1.8048,R5=软门控+patch+para3 | bare 0.32/rich 0.36/multi 0.32,1
10240.jpg,spaq,r5,,3.5219,R5=软门控+patch+para3 | bare 0.35/rich 0.31/multi 0.34,1
10241.jpg,spaq,r5,,3.3652,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
10242.jpg,spaq,r5,,4.5267,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10243.jpg,spaq,r5,,5.84,R5=软门控+patch+para3 | bare 0.34/rich 0.32/multi 0.34,1
10244.jpg,spaq,r5,,1.7297,R5=软门控+patch+para3 | bare 0.36/rich 0.30/multi 0.34,1
